,Classifier,Umap - 10,Train,Test,accuracy - mean,accuracy - std,f1 score (weighted) - mean,f1 score (weighted) - std,f1-score - mean - sit,f1-score - mean - stand,f1-score - mean - walk,f1-score - mean - stair up,f1-score - mean - stair down,f1-score - mean - run,f1-score - mean - stair up and down,f1-score - std - sit,f1-score - std - stand,f1-score - std - walk,f1-score - std - stair up,f1-score - std - stair down,f1-score - std - run,f1-score - std - stair up and down,precision - mean - sit,precision - mean - stand,precision - mean - walk,precision - mean - stair up,precision - mean - stair down,precision - mean - run,precision - mean - stair up and down,precision - std - sit,precision - std - stand,precision - std - walk,precision - std - stair up,precision - std - stair down,precision - std - run,precision - std - stair up and down,recall - mean - sit,recall - mean - stand,recall - mean - walk,recall - mean - stair up,recall - mean - stair down,recall - mean - run,recall - mean - stair up and down,recall - std - sit,recall - std - stand,recall - std - walk,recall - std - stair up,recall - std - stair down,recall - std - run,recall - std - stair up and down,support - mean - sit,support - mean - stand,support - mean - walk,support - mean - stair up,support - mean - stair down,support - mean - run,support - mean - stair up and down,support - std - sit,support - std - stand,support - std - walk,support - std - stair up,support - std - stair down,support - std - run,support - std - stair up and down
0,RandomForest,['-'],['KuHar'],KuHar,0.8869918699186993,0.010089165565846226,0.8877822513262099,0.009749418620666394,0.9583548285282049,0.9587118120177186,0.8325035561877667,0.8275057486459005,0.7798569871750136,0.9697605754026561,,0.005831654967781068,0.006122859732368467,0.011083673736251916,0.03315761991376165,0.027469489362024844,0.00782266774452273,,0.9632259001161441,0.954178281068525,0.9157575757575758,0.8496836381303646,0.7145221088435373,0.9641033951867758,,0.01177868174030688,0.00696213461735751,0.02224636532617064,0.040276760006478875,0.03043060857421435,0.01534229007268349,,0.9536585365853659,0.9634146341463415,0.7634146341463415,0.8073170731707318,0.8585365853658538,0.9756097560975612,,0.007317073170731715,0.012195121951219523,0.011177013890136206,0.036909136464442806,0.023897460905201732,2.220446049250313e-16,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
1,SVC,['-'],['KuHar'],KuHar,0.7195121951219512,0.0,0.6642167930272944,0.0,0.6666666666666666,0.0,0.868421052631579,0.7872340425531914,0.6753246753246753,0.9876543209876543,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.9428571428571428,0.6981132075471698,0.7222222222222222,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.8048780487804879,0.9024390243902439,0.6341463414634146,0.975609756097561,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2,KNN,['-'],['KuHar'],KuHar,0.7926829268292683,0.0,0.7944246611719279,0.0,0.8505747126436782,0.8311688311688312,0.8292682926829268,0.6818181818181819,0.625,0.9487179487179488,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8043478260869565,0.8888888888888888,0.8292682926829268,0.6382978723404256,0.6410256410256411,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.9024390243902439,0.7804878048780488,0.8292682926829268,0.7317073170731707,0.6097560975609756,0.9024390243902439,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3,RandomForest,['-'],['KuHar'],MotionSense,0.46474358974358976,0.008316880536764338,0.39623370921522316,0.011527765566586686,0.40263550552819594,0.6259523324389626,0.0,0.2751808519133153,0.43114100406859246,0.6424925613422728,,0.01971055728034359,0.007298532498465346,0.0,0.051181078219836355,0.017589554266595267,0.016478684690075372,,0.6856098420196087,0.5342880699391178,0.0,0.5493470980535253,0.34416520315412835,0.4770046473925623,,0.018897495103003523,0.007288481979960826,0.0,0.04578876082269907,0.015878275691323496,0.017291848012246886,,0.28525641025641024,0.7557692307692307,0.0,0.18461538461538463,0.5782051282051281,0.9846153846153847,,0.017960161187335774,0.013277125113594867,0.0,0.041424344670265414,0.032534814206280835,0.01080275611945688,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
4,SVC,['-'],['KuHar'],MotionSense,0.5085470085470085,0.0,0.4427924016674643,0.0,0.6729411764705883,0.30150753768844224,0.049689440993788817,0.30517711171662126,0.5476923076923077,0.7797468354430379,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5315985130111525,0.6976744186046512,0.8,0.26540284360189575,0.5266272189349113,0.6443514644351465,,0.0,0.0,0.0,0.0,0.0,0.0,,0.9166666666666666,0.19230769230769232,0.02564102564102564,0.358974358974359,0.5705128205128205,0.9871794871794872,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
5,KNN,['-'],['KuHar'],MotionSense,0.5331196581196581,0.0,0.508001994363535,0.0,0.6077738515901061,0.6764705882352942,0.22099447513812154,0.3589743589743589,0.4952741020793951,0.6885245901639344,,0.0,0.0,0.0,0.0,0.0,0.0,,0.6771653543307087,0.625,0.8,0.5384615384615384,0.3512064343163539,0.7046979865771812,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5512820512820513,0.7371794871794872,0.1282051282051282,0.2692307692307692,0.8397435897435898,0.6730769230769231,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
6,RandomForest,['-'],['KuHar'],WISDM,0.3827741265997925,0.0038180960848278505,0.37771268134779273,0.003864488156492217,0.2516876447952568,0.6448588633684925,0.1499530281885023,,,0.8042926022519328,0.0,0.0059694769123525135,0.0038572265691459114,0.016974515595093484,,,0.012385533753172069,0.0,0.8890687622934653,0.5269833196959313,0.5324747130101979,,,0.7979540124512623,0.0,0.008843639992376154,0.0024691971161598762,0.037397264888904075,,,0.013403482872508652,0.0,0.14661016949152542,0.8306779661016949,0.08745762711864406,,,0.8108474576271186,0.0,0.004028767567459227,0.007327446210582119,0.011247905100364107,,,0.014857360678516023,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
7,SVC,['-'],['KuHar'],WISDM,0.436527153234175,0.0,0.43060608752372437,0.0,0.6626344086021506,0.3838630806845966,0.16024653312788906,,,0.903225806451613,0.0,0.0,0.0,0.0,,,0.0,0.0,0.5489977728285078,0.6885964912280702,0.8813559322033898,,,0.8615384615384616,0.0,0.0,0.0,0.0,,,0.0,0.0,0.8355932203389831,0.26610169491525426,0.08813559322033898,,,0.9491525423728814,0.0,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
8,KNN,['-'],['KuHar'],WISDM,0.3538567969560706,0.0,0.3738211119861109,0.0,0.3908045977011494,0.6846965699208443,0.19881305637982197,,,0.5574092247301277,0.0,0.0,0.0,0.0,,,0.0,0.0,0.7927461139896373,0.5604751619870411,0.7976190476190477,,,0.662004662004662,0.0,0.0,0.0,0.0,,,0.0,0.0,0.2593220338983051,0.8796610169491526,0.1135593220338983,,,0.48135593220338985,0.0,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
9,RandomForest,['-'],['KuHar'],UCI,0.6208643815201192,0.01398355183992834,0.5674840062602569,0.01807408289555024,0.158942939881333,0.6672080201488548,0.6950680627268736,0.711410886584846,0.6412202661533843,,,0.03844314899885261,0.007399537689859599,0.0377566172920745,0.015442188877550868,0.027454154679834752,,,1.0,0.5084339703087509,0.9251737564121465,0.5545964365598273,0.8643810693671702,,,0.0,0.007400297836264005,0.028228875546396092,0.01885765973434371,0.03936594874055082,,,0.08680555555555555,0.9702898550724637,0.5574803149606298,0.9926470588235293,0.5111111111111111,,,0.022662734544556556,0.008230301950435177,0.04251968503937008,0.007352941176470584,0.03389548651438514,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
10,SVC,['-'],['KuHar'],UCI,0.5678092399403875,0.0,0.5110885657361544,0.0,0.6683804627249358,0.26436781609195403,0.272108843537415,0.6222222222222222,0.7224669603524229,,,0.0,0.0,0.0,0.0,0.0,,,0.5306122448979592,0.6388888888888888,1.0,0.4684014869888476,0.8118811881188119,,,0.0,0.0,0.0,0.0,0.0,,,0.9027777777777778,0.16666666666666666,0.15748031496062992,0.9264705882352942,0.6507936507936508,,,0.0,0.0,0.0,0.0,0.0,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
11,KNN,['-'],['KuHar'],UCI,0.5543964232488823,0.0,0.4833434263335368,0.0,0.12738853503184713,0.6650246305418719,0.3717948717948718,0.6342710997442456,0.6406926406926408,,,0.0,0.0,0.0,0.0,0.0,,,0.7692307692307693,0.503731343283582,1.0,0.48627450980392156,0.7047619047619048,,,0.0,0.0,0.0,0.0,0.0,,,0.06944444444444445,0.9782608695652174,0.2283464566929134,0.9117647058823529,0.5873015873015873,,,0.0,0.0,0.0,0.0,0.0,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
12,RandomForest,['-'],['MotionSense'],KuHar,0.5065040650406505,0.01801505675297589,0.4678914671978497,0.024579215888146287,0.6489643002149672,0.19120392301263062,0.5281118109675813,0.4635935030545754,0.5352781728321026,0.44019709310524113,,0.01914165475813639,0.05554636248139662,0.0784790235767696,0.053691167010295,0.0189888772609074,0.06430970526726361,,0.5061076529295707,0.5526984126984127,0.9450438596491229,0.5450254828659867,0.3719953722073007,0.9941176470588236,,0.013002078655993322,0.12094686068309292,0.07402595405952496,0.04968568355742069,0.01776914422100972,0.017647058823529415,,0.9048780487804878,0.11707317073170734,0.36829268292682926,0.40731707317073174,0.9560975609756097,0.28536585365853656,,0.04000297430940666,0.03746900364813955,0.06308544954330517,0.06816189567064448,0.028443667779733162,0.055671766880552816,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
13,SVC,['-'],['MotionSense'],KuHar,0.6178861788617886,0.0,0.528391758221014,0.0,0.6666666666666666,0.0,0.125,0.5688073394495413,0.8222222222222222,0.9876543209876543,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.42857142857142855,0.45588235294117646,0.7551020408163265,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.07317073170731707,0.7560975609756098,0.9024390243902439,0.975609756097561,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
14,KNN,['-'],['MotionSense'],KuHar,0.5203252032520326,0.0,0.47453116431230713,0.0,0.56,0.4444444444444445,0.0,0.37974683544303794,0.5981308411214953,0.8648648648648648,,0.0,0.0,0.0,0.0,0.0,0.0,,0.4166666666666667,0.6363636363636364,0.0,0.39473684210526316,0.48484848484848486,0.9696969696969697,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8536585365853658,0.34146341463414637,0.0,0.36585365853658536,0.7804878048780488,0.7804878048780488,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
15,RandomForest,['-'],['MotionSense'],MotionSense,0.8722222222222221,0.004059829059829046,0.8711342475349888,0.004081859595448985,0.8617520305912928,0.8481715870095823,0.8596261638556608,0.8409320551186855,0.8669756770975559,0.9493479715371558,,0.006974887178514691,0.008646494945999793,0.005902929576731796,0.012816663103939734,0.011195502762965468,0.0047521352621196795,,0.8192495097347801,0.904258290042919,0.8981041730452078,0.8915104749183597,0.8293866513139232,0.906254233553933,,0.00872243275979191,0.009101131403603987,0.008142257137981222,0.022012535095490414,0.015612191480757457,0.008315169287200233,,0.908974358974359,0.7987179487179488,0.8243589743589743,0.7961538461538462,0.9083333333333334,0.9967948717948719,,0.008504166129116407,0.011538461538461544,0.007138159439525683,0.015115161695578964,0.012179487179487192,0.003205128205128194,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
16,SVC,['-'],['MotionSense'],MotionSense,0.8493589743589743,0.0,0.842168861785319,0.0,0.7403598971722365,0.5702127659574467,0.9320388349514563,0.9025974025974026,0.948051948051948,0.9597523219814241,,0.0,0.0,0.0,0.0,0.0,0.0,,0.6180257510729614,0.8481012658227848,0.9411764705882353,0.9144736842105263,0.9605263157894737,0.9281437125748503,,0.0,0.0,0.0,0.0,0.0,0.0,,0.9230769230769231,0.42948717948717946,0.9230769230769231,0.8910256410256411,0.9358974358974359,0.9935897435897436,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
17,KNN,['-'],['MotionSense'],MotionSense,0.8675213675213675,0.0,0.8661337226912745,0.0,0.855457227138643,0.8280701754385964,0.9073482428115015,0.8120805369127517,0.8461538461538461,0.9476923076923077,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7923497267759563,0.9147286821705426,0.9044585987261147,0.852112676056338,0.8461538461538461,0.9112426035502958,,0.0,0.0,0.0,0.0,0.0,0.0,,0.9294871794871795,0.7564102564102564,0.9102564102564102,0.7756410256410257,0.8461538461538461,0.9871794871794872,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
18,RandomForest,['-'],['MotionSense'],WISDM,0.5185057073676929,0.0018237878002717285,0.5613383281741212,0.0014755273334392028,0.6842072411693801,0.6060670546815097,0.5042260019569931,,,0.9560575102453107,0.0,0.0026935758069131445,0.00516148261252317,0.005901483214825994,,,0.003936160434302974,0.0,0.6311025537587319,0.7123325352777824,0.9592763822964064,,,0.9903733161196515,0.0,0.004127300815962707,0.004583288307298545,0.010994666334262885,,,0.0011553862096754046,0.0,0.7471186440677966,0.5274576271186441,0.34203389830508474,,,0.9240677966101695,0.0,0.005185443573145193,0.00786995712965689,0.005455415911671561,,,0.007262469588348652,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
19,SVC,['-'],['MotionSense'],WISDM,0.5084745762711864,0.0,0.5312000347272118,0.0,0.6626425217974514,0.3962040332147093,0.5680473372781065,,,0.9759862778730702,0.0,0.0,0.0,0.0,,,0.0,0.0,0.5482796892341842,0.6600790513833992,0.9411764705882353,,,0.9878472222222222,0.0,0.0,0.0,0.0,,,0.0,0.0,0.8372881355932204,0.2830508474576271,0.4067796610169492,,,0.964406779661017,0.0,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
20,KNN,['-'],['MotionSense'],WISDM,0.5153925977170529,0.0,0.5460021657575195,0.0,0.6657203690560681,0.5785288270377733,0.5049751243781094,,,0.9261862917398945,0.0,0.0,0.0,0.0,,,0.0,0.0,0.5726495726495726,0.6995192307692307,0.9485981308411215,,,0.9616788321167883,0.0,0.0,0.0,0.0,,,0.0,0.0,0.7949152542372881,0.49322033898305084,0.3440677966101695,,,0.8932203389830509,0.0,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
