,Classifier,Umap - 10,Train,Test,accuracy - mean,accuracy - std,f1 score (weighted) - mean,f1 score (weighted) - std,f1-score - mean - sit,f1-score - mean - stand,f1-score - mean - walk,f1-score - mean - stair up,f1-score - mean - stair down,f1-score - mean - run,f1-score - mean - stair up and down,f1-score - std - sit,f1-score - std - stand,f1-score - std - walk,f1-score - std - stair up,f1-score - std - stair down,f1-score - std - run,f1-score - std - stair up and down,precision - mean - sit,precision - mean - stand,precision - mean - walk,precision - mean - stair up,precision - mean - stair down,precision - mean - run,precision - mean - stair up and down,precision - std - sit,precision - std - stand,precision - std - walk,precision - std - stair up,precision - std - stair down,precision - std - run,precision - std - stair up and down,recall - mean - sit,recall - mean - stand,recall - mean - walk,recall - mean - stair up,recall - mean - stair down,recall - mean - run,recall - mean - stair up and down,recall - std - sit,recall - std - stand,recall - std - walk,recall - std - stair up,recall - std - stair down,recall - std - run,recall - std - stair up and down,support - mean - sit,support - mean - stand,support - mean - walk,support - mean - stair up,support - mean - stair down,support - mean - run,support - mean - stair up and down,support - std - sit,support - std - stand,support - std - walk,support - std - stair up,support - std - stair down,support - std - run,support - std - stair up and down
0,RandomForest,['-'],['KuHar'],KuHar,0.8906504065040652,0.010670247762932274,0.8911105414172479,0.010635113527425038,0.9582655826558264,0.9588010578900968,0.8359548881654144,0.8328135985028544,0.7873929170577345,0.9734352042315603,,0.005753092440141154,0.006190306138094444,0.01339293029612235,0.02735598761076192,0.021341874658411912,0.010490537676467685,,0.9654878048780487,0.9519163763066201,0.9139952328187622,0.8524438519688842,0.7276939239463902,0.9641695702671311,,0.011650012191285856,0.0005689871644095605,0.023080879314431167,0.02923436003828925,0.02189265346891401,0.011790334175310484,,0.9512195121951219,0.9658536585365853,0.7707317073170732,0.8146341463414635,0.8585365853658538,0.9829268292682926,,0.0,0.01194873045260088,0.019512195121951237,0.033084536503050065,0.032357315027857575,0.011177013890136206,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
1,SVC,['-'],['KuHar'],KuHar,0.7195121951219512,0.0,0.6642167930272944,0.0,0.6666666666666666,0.0,0.868421052631579,0.7872340425531914,0.6753246753246753,0.9876543209876543,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.9428571428571428,0.6981132075471698,0.7222222222222222,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.8048780487804879,0.9024390243902439,0.6341463414634146,0.975609756097561,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2,KNN,['-'],['KuHar'],KuHar,0.7926829268292683,0.0,0.7944246611719279,0.0,0.8505747126436782,0.8311688311688312,0.8292682926829268,0.6818181818181819,0.625,0.9487179487179488,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8043478260869565,0.8888888888888888,0.8292682926829268,0.6382978723404256,0.6410256410256411,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.9024390243902439,0.7804878048780488,0.8292682926829268,0.7317073170731707,0.6097560975609756,0.9024390243902439,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3,RandomForest,['-'],['KuHar'],MotionSense,0.4713675213675213,0.010422007177997607,0.40357166458159066,0.014186663259080062,0.40462919151828264,0.6291480929279795,0.0,0.2983975398000841,0.43418450288178334,0.6550706603614145,,0.030588142262396104,0.012116300555557975,0.0,0.05019184931247223,0.008441557965293634,0.017367788541791412,,0.697743494583112,0.5357162342605793,0.0,0.5899948572560195,0.34308390895869845,0.49042650121542974,,0.031078620508258183,0.012275255495250903,0.0,0.04100124261248145,0.009223799044968485,0.01931917022191782,,0.28525641025641024,0.7621794871794871,0.0,0.2012820512820513,0.5923076923076922,0.9871794871794872,,0.025999102295734936,0.013583089807959664,0.0,0.041661735408389536,0.024527085217575628,0.007022084070579068,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
4,SVC,['-'],['KuHar'],MotionSense,0.5085470085470085,0.0,0.4427924016674643,0.0,0.6729411764705883,0.30150753768844224,0.049689440993788817,0.30517711171662126,0.5476923076923077,0.7797468354430379,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5315985130111525,0.6976744186046512,0.8,0.26540284360189575,0.5266272189349113,0.6443514644351465,,0.0,0.0,0.0,0.0,0.0,0.0,,0.9166666666666666,0.19230769230769232,0.02564102564102564,0.358974358974359,0.5705128205128205,0.9871794871794872,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
5,KNN,['-'],['KuHar'],MotionSense,0.5331196581196581,0.0,0.508001994363535,0.0,0.6077738515901061,0.6764705882352942,0.22099447513812154,0.3589743589743589,0.4952741020793951,0.6885245901639344,,0.0,0.0,0.0,0.0,0.0,0.0,,0.6771653543307087,0.625,0.8,0.5384615384615384,0.3512064343163539,0.7046979865771812,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5512820512820513,0.7371794871794872,0.1282051282051282,0.2692307692307692,0.8397435897435898,0.6730769230769231,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
6,RandomForest,['-'],['KuHar'],WISDM,0.3824628156347285,0.00661033148925763,0.37779621195914426,0.0055003459191833234,0.2541145212279828,0.6407358668815506,0.15249710509021125,,,0.803853945400062,0.0,0.007015603964871363,0.0035168404103883204,0.022351184715370707,,,0.01208198171900422,0.0,0.8873373732827655,0.5258067143982352,0.4979949554147809,,,0.7930360588541838,0.0,0.008920939403919494,0.0016099349721568012,0.05365088803235849,,,0.01530995206328038,0.0,0.1483050847457627,0.82,0.09016949152542374,,,0.8155932203389831,0.0,0.004626218326764803,0.00860242545115223,0.014095337550028333,,,0.023544075056522486,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
7,SVC,['-'],['KuHar'],WISDM,0.436527153234175,0.0,0.43060608752372437,0.0,0.6626344086021506,0.3838630806845966,0.16024653312788906,,,0.903225806451613,0.0,0.0,0.0,0.0,,,0.0,0.0,0.5489977728285078,0.6885964912280702,0.8813559322033898,,,0.8615384615384616,0.0,0.0,0.0,0.0,,,0.0,0.0,0.8355932203389831,0.26610169491525426,0.08813559322033898,,,0.9491525423728814,0.0,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
8,KNN,['-'],['KuHar'],WISDM,0.3538567969560706,0.0,0.3738211119861109,0.0,0.3908045977011494,0.6846965699208443,0.19881305637982197,,,0.5574092247301277,0.0,0.0,0.0,0.0,,,0.0,0.0,0.7927461139896373,0.5604751619870411,0.7976190476190477,,,0.662004662004662,0.0,0.0,0.0,0.0,,,0.0,0.0,0.2593220338983051,0.8796610169491526,0.1135593220338983,,,0.48135593220338985,0.0,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
9,RandomForest,['-'],['KuHar'],UCI,0.6213114754098361,0.010899680776886175,0.5663631096540329,0.010636714035831815,0.14503635138235974,0.6648626030123532,0.7019445579986878,0.7142791730728654,0.6436860822170514,,,0.0299637919100843,0.0057660427821795025,0.046495687789942064,0.020945559460860918,0.021982006456346903,,,1.0,0.50589843902579,0.9160682205379368,0.5600483637725386,0.861582998358894,,,0.0,0.00544015044455536,0.0210903511086627,0.027178542695031317,0.03268295759818379,,,0.07847222222222222,0.9695652173913045,0.5716535433070866,0.9875,0.5150793650793651,,,0.017581929029405783,0.007804586677006543,0.061719426589812346,0.008088235294117658,0.031033674279392305,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
